CurrencyISO,Rate_to_USD,SurveyYear
ARS,181.223644,2023
AUD,1.433179,2023
BHD,0.376,2023
BWP,12.631824,2023
BRL,5.096104,2023
GBP,0.817604,2023
BGN,1.803858,2023
CAD,1.339258,2023
CLP,817.558573,2023
CNY,6.704026,2023
COP,4685.131937,2023
CZK,22.168265,2023
DKK,6.865977,2023
AED,3.6725,2023
EUR,0.922298,2023
HKD,7.815469,2023
ISK,142.452161,2023
INR,81.27636,2023
IDR,15143.883778,2023
IRR,42024.803816,2023
JPY,127.859336,2023
KZT,462.026713,2023
KWD,0.306297,2023
MYR,4.336557,2023
MXN,18.768212,2023
NZD,1.566141,2023
NOK,9.89628,2023
OMR,0.385,2023
PKR,228.150829,2023
PHP,54.922288,2023
PLN,4.337554,2023
QAR,3.64,2023
RUB,68.999675,2023
SAR,3.75,2023
SGD,1.318828,2023
ZAR,16.813037,2023
KRW,1237.717092,2023
LKR,366.125084,2023
SEK,10.402183,2023
CHF,0.927301,2023
TWD,30.329747,2023
THB,32.806346,2023
TTD,6.787963,2023
TRY,18.782064,2023
USD,1.0,2023
